title	publisher	1	2
International Journal of Engineering & Technology	Science Publishing Corporation	2227-524X	
AFRREV STECH An International Journal of Science and Technology	African Journals Online	2227-5444	2225-8612
AFRREV LALIGENS An International Journal of Language Literature and Gender Studies	African Journals Online	2227-5460	2225-8604
Analytics	Technosphera JSC	2227-572X	
Psychophysiology New	Science and Education, Ltd.	2227-6157	
Articult	Russian State University for the Humanities	2227-6165	
Journal of Information Technology and Application in Education	Science and Engineering Publishing, Co.	2227-6467	
Journal of Agricultural Science and Applications	American V-King Scientific Publishers	2227-6483	2227-6475
Vestnik of Northern (Arctic) Federal University Series Humanitarian and Social Sciences	Kniga - Service Agency Ltd.	2227-6564	
Arctic Environmental Research	Kniga - Service Agency Ltd.	2227-6572	
Marketing and Management of Innovations	Sumy State University	2227-6718	2218-4511
WEST – EAST	FSBEI HE Mari State University	2227-6874	
SWorld journal	Science and Education, Ltd.	2227-6920	
Modern scientific research and their practical application	Yolnat PE	2227-6920	
IMF Working Papers	International Monetary Fund	2227-8885	
IMF Staff Country Reports	International Monetary Fund	2227-8907	
IMF Staff Country Reports	International Monetary Fund	2227-8907	1934-7685
International Monetary Fund Annual Report	International Monetary Fund	2227-8915	
International Monetary Fund Annual Report	International Monetary Fund	2227-8923	
International Monetary Fund Annual Report	International Monetary Fund	2227-8990	
International Journal of Advanced Studies	Science and Innovation Center	2227-930X	2328-1391
Yemeni Journal For Medical Sciences	University of Science and Technology, Yemen	2227-961X	2227-9601
Ученые записки Российской академии музыки имени Гнесиных	NB-Media, Ltd.	2227-9997	
Incantatio An International Journal on Charms Charmers and Charming	Estonian Literary Museum Scholary Press	2228-1355	
Journal of Crop Breeding	Armenian Green Publishing Co.	2228-6128	
Journal of Research in Economic Modeling	Armenian Green Publishing Co.	2228-6454	
Journal of Engineering Geology	Armenian Green Publishing Co.	2228-6837	
journal of research in dental sciences	Armenian Green Publishing Co.	2228-7353	2008-4676
Iranian Journal of Psychiatry and Clinical Psychology	Armenian Green Publishing Co.	2228-7515	1735-4315
Journal of Indian Academy of Dental Specialist Researchers	Medknow Publications	2229-3019	
Journal of Orofacial & Health Sciences	Diva Enterprises Private Limited	2229-3264	0976-5360
Hygeia journal for drugs and medicines	CD Remedies	2229-3590	0975-6221
International Journal of Biomedical and Advance Research	Scholar Science Journals	2229-3809	2455-0558
International Journal of Infertility & Fetal Medicine	Jaypee Brothers Medical Publishing	2229-3833	2229-3817
International Journal of Peer to Peer Networks	Academy and Industry Research Collaboration Center	2229-3930	2229-5240
Journal of Machine Learning Technologies	Bioinfo Publications	2229-399X	2229-3981
Journal of Advanced Oral Research	SAGE Publications	2229-4120	2229-4112
Afro Asian Journal of Anthropology and Social Policy	Diva Enterprises Private Limited	2229-4414	
GYANODAYA - The Journal of Progressive Education	Diva Enterprises Private Limited	2229-4422	0974-1801
Journal of PEARLDENT	Diva Enterprises Private Limited	2229-4457	0976-0180
Al-Barkaat Journal of Finance & Management	Diva Enterprises Private Limited	2229-4503	0974-7281
Researchers World – Journal of Arts Science & Commerce	ERM Publications	2229-4686	2231-4172
Indian Journal of Positive Psychology	Indian Association of Health, Research and Welfare (IAJRW)	2229-4937	
Indian Journal of Dental Advancements	National Academy of Dentistry	2229-5127	2229-5038
Journal of Interdisciplinary Dentistry	Medknow Publications	2229-5194	
Indian Journal of Commerce & Management Studies	ERM Publications	2229-5674	2249-0310
International Journal of Financial Management	Publishing India Group	2229-5682	
International Journal of Computing and Business Research	Magma Research and Consultancy Pvt. Ltd	2229-6166	
Indian Journal of Multidisciplinary Dentistry	Medknow Publications	2229-6360	
Journal of Data Mining and Knowledge Discovery	Bioinfo Publications	2229-6670	2229-6662
Journal of Biometrics	Bioinfo Publications	2229-6697	2229-6689
International Journal of Computational Biology	Bioinfo Publications	2229-6719	2229-6700
Advanced Computing An International Journal	Academy and Industry Research Collaboration Center	2229-6727	2229-726X
International Journal on Soft Computing	Academy and Industry Research Collaboration Center	2229-6735	2229-7103
Journal of Intelligence Systems	Bioinfo Publications	2229-7065	2229-7057
SAMRIDDHI A Journal of Physical Sciences Engineering and Technology	SMS Institute of Technology	2229-7111	
CRITIC	Science and Education, Ltd.	2229-7146	
Journal of Pure Applied and Industrial Physics	Journal of Chemistry and Chemical Sciences	2229-7596	
Journal of Chemistry and Chemical Sciences	Journal of Chemistry and Chemical Sciences	2229-760X	
International Journal of Property Sciences	Univ. of Malaya	2229-8568	
Global Journal of Technology and Optimization	OMICS Publishing Group	2229-8711	
SEARCH The Journal of the South East Asia Research Centre for Communication and Humanities	Springer - Global Science Journals	2229-872X	
Arab World English Journal	AWEJ Group	2229-9327	
The Journal of Creative Technologies	Auckland University of Technology (AUT) Library	2230-2115	
Research and Reports in Forensic Medical Science	Dove Medical Press	2230-2476	
Research and Reports in Biodiversity Studies	Dove Medical Press	2230-2484	
Reports in Parasitology	Dove Medical Press	2230-3162	
Antibody Technology Journal	Dove Medical Press	2230-3170	
Reports in Electrochemistry	Dove Medical Press	2230-4096	
Reports in Theoretical Chemistry	Dove Medical Press	2230-410X	
Reports in Organic Chemistry	Dove Medical Press	2230-5246	
Pharmaceutical & Diagnostic Innovation	Springer-Verlag	2230-6048	1176-3469
Inpharma Weekly	Springer-Verlag	2230-6056	1173-8324
Nanobiosensors in Disease Diagnosis	Dove Medical Press	2230-6153	
Multimodal Communication	Walter de Gruyter GmbH	2230-6587	2230-6579
MAI Journal A New Zealand Journal of Indigenous Scholarship	Nga Pae o te Maramatanga	2230-6862	
International Journal of Students Research	Medknow Publications	2230-7095	
i-manager s Journal on School Educational Technology	i-manager Publications	2230-7133	0973-2217
i-manager’s Journal on Educational Psychology	i-manager Publications	2230-7141	0973-8827
i-manager’s Journal on Management	i-manager Publications	2230-715X	0973-5054
i-manager’s Journal on Software Engineering	i-manager Publications	2230-7168	0973-5151
i-manager’s Journal on Electrical Engineering	i-manager Publications	2230-7176	0973-8835
i-manager’s Journal on Future Engineering and Technology	i-manager Publications	2230-7184	0973-2632
Journal of High Performance Computing	Bioinfo Publications	2230-7206	2230-7192
Educational Quest- An International Journal of Education and Applied Social Sciences	Diva Enterprises Private Limited	2230-7311	0976-7258
International Journal of Agriculture Environment and Biotechnology	Diva Enterprises Private Limited	2230-732X	0974-1712
Journal of Hill Agriculture	Diva Enterprises Private Limited	2230-7338	0976-7606
Analytical Chemistry Letters	Informa UK (Taylor & Francis)	2230-7532	2229-7928
Journal of Advances and Scholarly Researches in Allied Education	Ignited Minds Pvt. Ltd.	2230-7540	
International Journal on Web Service Computing	Academy and Industry Research Collaboration Center	2230-7702	
Indian Streams Research Journal	Laxmi Book Publication	2230-7850	
KRSCMS Management Journal	K.R. Sapkal College of Management Studies	2230-8067	
International Research Journal of Pharmacy	Moksha Publishing House	2230-8407	
PRIMA Practices and Research in Marketing	Publishing India Group	2230-844X	
CODS Journal of Dentistry	Jaypee Brothers Medical Publishing	2230-8695	
International Journal of Hepatobiliary and Pancreatic Diseases	EDORIUM Journals, Pvt., Ltd.	2230-9012	
International Journal of Blood Transfusion and Immunohematology	EDORIUM Journals, Pvt., Ltd.	2230-9020	
Computing Trendz - The Journal of Emerging Trends in Information Technology	School of Management Sciences, Varanas	2230-9152	
ENGINEERING AND TECHNOLOGY IN INDIA	Hind Agri Horticultural Society	2230-9284	0976-1268
World Research Journal of Applied Medicinal Chemistry	Bioinfo Publications	2230-9322	2230-9314
Journal of Pattern Intelligence	Bioinfo Publications	2230-9349	2230-9330
FOOD SCIENCE RESEARCH JOURNAL	Hind Agri Horticultural Society	2230-9403	0976-1276
INTERNATIONAL JOURNAL OF FORESTRY AND CROP IMPROVEMENT	Hind Agri Horticultural Society	2230-9411	0976-562X
VETERINARY SCIENCE RESEARCH JOURNAL	Hind Agri Horticultural Society	2230-942X	0976-1284
ANNALS OF PHARMACY AND PHARMACEUTICAL SCIENCES	Hind Agri Horticultural Society	2230-9438	0976-125X
International Journal of Data Mining & Knowledge Management Process	Academy and Industry Research Collaboration Center	2230-9608	2231-007X
International Journal of Computer Science Engineering and Applications	Academy and Industry Research Collaboration Center	2230-9616	2231-0088
Journal of Laryngology and Voice	Medknow Publications	2230-9748	
Management Today	Gokaraju Rangaraju Educational Society	2230-9764	
American Journal of Experimental Agriculture	Sciencedomain International	2231-0606	
Siddhant- A Journal of Decision Making	Diva Enterprises Private Limited	2231-0657	2231-0649
Training & Development Journal	Diva Enterprises Private Limited	2231-069X	2231-0681
ASL- Musculoskeletal Diseases	Medknow Publications	2231-072X	
International journal of Nutrition Pharmacology Neurological Diseases	Medknow Publications	2231-0738	
British Journal of Mathematics & Computer Science	Sciencedomain International	2231-0851	
International Journal of Information Technology Convergence and Services	Academy and Industry Research Collaboration Center	2231-153X	2231-1939
International Journal of Advanced Information Technology	Academy and Industry Research Collaboration Center	2231-1548	2231-1920
Journal of Functional And Environmental Botany	Diva Enterprises Private Limited	2231-1750	2231-1742
Physical Review & Research International	Sciencedomain International	2231-1815	
Journal of Biologically Active Products from Nature	Informa UK (Taylor & Francis)	2231-1874	2231-1866
RGUHS Journal of Medical Sciences	Rajiv Gandhi University of Health Sciences	2231-1947	
International Journal of Management Studies	ERM Publications	2231-2528	2249-0302
Free Radicals and Antioxidants	EManuscript Services	2231-2536	
Unani Research	EManuscript Services	2231-2544	
Asian journal of biochemical and pharmaceutical research	SAE Publications	2231-2560	
International Journal of Computer Trends and Technology	Seventh Sense Research Group Journals	2231-2803	2349-0829
International Journal of Computer Science Engineering and Information Technology	Academy and Industry Research Collaboration Center	2231-3117	2231-3605
National Journal of Physiology Pharmacy and Pharmacology	ScopeMed International Medical Journal Managment and Indexing System	2231-3206	2320-4672
International Journal of Computer Graphics & Animation	Academy and Industry Research Collaboration Center	2231-3281	2231-3591
Computer Science & Engineering An International Journal	Academy and Industry Research Collaboration Center	2231-329X	2231-3583
Journal of Applied Pharmaceutical Science	Journal of Applied Pharmacuetical Science	2231-3354	
Journal of Computational Simulation and Modeling	Bioinfo Publications	2231-3508	2231-3494
International Journal of Humanity and Social Sciences	Bioinfo Publications	2231-3540	2231-3532
International Journal of Wireless Communication	Bioinfo Publications	2231-3567	2231-3559
International Journal of Phonosurgery & Laryngology	Jaypee Brothers Medical Publishing	2231-3702	2230-7508
